"rt","key_press","TrialNumber","Subject","TrialType","Response","TestTrial","trial_type","trial_index","time_elapsed","internal_node_id"
"-1","-1","1","s999","6","5","9","single-stim","0","52","0.0-0.0"
"-1","-1","2","s999","2","1","5","single-stim","1","57","0.0-1.0"
"-1","-1","3","s999","4","4","6","single-stim","2","59","0.0-2.0"
"-1","-1","4","s999","5","3","8","single-stim","3","69","0.0-3.0"
"-1","-1","5","s999","3","3","8","single-stim","4","73","0.0-4.0"
"-1","-1","6","s999","7","9","1","single-stim","5","78","0.0-5.0"
"-1","-1","7","s999","1","0","6","single-stim","6","83","0.0-6.0"
"-1","-1","8","s999","8","8","4","single-stim","7","88","0.0-7.0"
"-1","-1","9","s999","7","4","7","single-stim","8","93","0.0-8.0"
"-1","-1","10","s999","0","5","7","single-stim","9","99","0.0-9.0"
"-1","-1","11","s999","1","8","1","single-stim","10","104","0.0-10.0"
"-1","-1","12","s999","0","6","8","single-stim","11","112","0.0-11.0"
"-1","-1","13","s999","3","5","9","single-stim","12","122","0.0-12.0"
"-1","-1","14","s999","5","5","4","single-stim","13","134","0.0-13.0"
"-1","-1","15","s999","7","3","3","single-stim","14","142","0.0-14.0"
"-1","-1","16","s999","1","8","0","single-stim","15","149","0.0-15.0"
"-1","-1","17","s999","9","5","3","single-stim","16","154","0.0-16.0"
"-1","-1","18","s999","5","6","9","single-stim","17","159","0.0-17.0"
"-1","-1","19","s999","1","3","4","single-stim","18","164","0.0-18.0"
"-1","-1","20","s999","8","5","7","single-stim","19","168","0.0-19.0"
"-1","-1","21","s999","1","6","7","single-stim","20","173","0.0-20.0"
"-1","-1","22","s999","3","3","2","single-stim","21","178","0.0-21.0"
"-1","-1","23","s999","5","1","2","single-stim","22","183","0.0-22.0"
"-1","-1","24","s999","1","5","2","single-stim","23","187","0.0-23.0"
"-1","-1","25","s999","8","7","7","single-stim","24","193","0.0-24.0"
"-1","-1","26","s999","3","6","8","single-stim","25","199","0.0-25.0"
"-1","-1","27","s999","3","7","3","single-stim","26","203","0.0-26.0"
"-1","-1","28","s999","2","4","0","single-stim","27","208","0.0-27.0"
"-1","-1","29","s999","9","9","2","single-stim","28","213","0.0-28.0"
"-1","-1","30","s999","7","9","5","single-stim","29","218","0.0-29.0"
"-1","-1","31","s999","6","6","7","single-stim","30","223","0.0-30.0"
"-1","-1","32","s999","6","3","2","single-stim","31","228","0.0-31.0"
"-1","-1","33","s999","5","5","1","single-stim","32","234","0.0-32.0"
"-1","-1","34","s999","3","4","0","single-stim","33","238","0.0-33.0"
"-1","-1","35","s999","9","9","5","single-stim","34","243","0.0-34.0"
"-1","-1","36","s999","6","1","0","single-stim","35","255","0.0-35.0"
"-1","-1","37","s999","4","7","9","single-stim","36","260","0.0-36.0"
"-1","-1","38","s999","9","9","9","single-stim","37","265","0.0-37.0"
"-1","-1","39","s999","1","7","6","single-stim","38","272","0.0-38.0"
"-1","-1","40","s999","3","1","8","single-stim","39","283","0.0-39.0"
"-1","-1","41","s999","2","7","3","single-stim","40","292","0.0-40.0"
"-1","-1","42","s999","9","9","4","single-stim","41","301","0.0-41.0"
"-1","-1","43","s999","3","8","0","single-stim","42","306","0.0-42.0"
"-1","-1","44","s999","6","2","0","single-stim","43","312","0.0-43.0"
"-1","-1","45","s999","2","9","9","single-stim","44","318","0.0-44.0"
"-1","-1","46","s999","0","6","3","single-stim","45","326","0.0-45.0"
"-1","-1","47","s999","1","0","9","single-stim","46","330","0.0-46.0"
"-1","-1","48","s999","8","9","4","single-stim","47","339","0.0-47.0"
"-1","-1","49","s999","3","8","2","single-stim","48","344","0.0-48.0"
"-1","-1","50","s999","0","5","3","single-stim","49","353","0.0-49.0"
"-1","-1","51","s999","7","4","0","single-stim","50","363","0.0-50.0"
"-1","-1","52","s999","9","0","8","single-stim","51","368","0.0-51.0"
"-1","-1","53","s999","9","5","8","single-stim","52","373","0.0-52.0"
"-1","-1","54","s999","2","0","8","single-stim","53","384","0.0-53.0"
"-1","-1","55","s999","9","8","4","single-stim","54","390","0.0-54.0"
"-1","-1","56","s999","0","9","3","single-stim","55","410","0.0-55.0"
"-1","-1","57","s999","1","1","6","single-stim","56","415","0.0-56.0"
"-1","-1","58","s999","5","7","4","single-stim","57","421","0.0-57.0"
"-1","-1","59","s999","0","3","8","single-stim","58","427","0.0-58.0"
"-1","-1","60","s999","7","5","6","single-stim","59","431","0.0-59.0"
"-1","-1","61","s999","8","0","6","single-stim","60","436","0.0-60.0"
"-1","-1","62","s999","6","2","5","single-stim","61","441","0.0-61.0"
"-1","-1","63","s999","6","1","8","single-stim","62","448","0.0-62.0"
"-1","-1","64","s999","3","5","1","single-stim","63","453","0.0-63.0"
"-1","-1","65","s999","8","0","4","single-stim","64","458","0.0-64.0"
"-1","-1","66","s999","9","1","1","single-stim","65","464","0.0-65.0"
"-1","-1","67","s999","8","2","1","single-stim","66","469","0.0-66.0"
